plat,plon,dlat,dlon,time,minute
22.282,114.115,22.283,114.14,18:00:00,0
22.325,114.186,22.36,114.181,18:00:00,0
22.402,113.944,22.376,113.955,18:00:00,0
22.386,113.959,22.376,113.975,18:00:00,0
22.279,114.121,22.283,114.149,18:00:00,0
22.257,114.167,22.284,113.978,18:00:00,0
22.295,114.153,22.304,114.14,18:00:00,0
22.285,114.108,22.288,114.099,18:00:00,0
22.503,114.11,22.462,114.162,18:00:00,0
22.287,113.978,22.407,113.982,18:00:00,0
22.434,114.177,22.437,114.189,18:00:00,0
22.278,114.11,22.285,114.134,18:00:00,0
22.452,114.227,22.433,114.229,18:00:00,0
22.276,114.151,22.283,114.092,18:00:00,0
22.367,114.124,22.37,114.103,18:00:00,0
22.515,113.98,22.475,114.007,18:00:00,0
22.245,114.187,22.246,114.215,18:00:00,0
22.446,114.261,22.32,114.27,18:00:00,0
22.277,114.146,22.283,114.136,18:00:00,0
22.304,114.157,22.327,114.177,18:00:00,0
22.418,113.997,22.407,113.993,18:00:00,0
22.326,114.233,22.316,114.237,18:00:00,0
22.333,114.191,22.342,114.193,18:00:00,0
22.396,113.947,22.372,113.946,18:00:00,0
22.446,114.011,22.451,114.022,18:00:00,0
22.29,114.218,22.289,114.213,18:00:00,0
22.408,114.223,22.412,114.225,18:00:00,0
22.446,114.25,22.417,114.245,18:00:00,0
22.35,114.131,22.374,114.142,18:00:00,0
22.335,114.191,22.293,114.17,18:00:00,0
22.307,114.23,22.337,114.217,18:00:00,0
22.291,114.139,22.286,114.132,18:00:00,0
22.451,113.959,22.459,113.963,18:00:00,0
22.372,114.189,22.313,114.237,18:00:00,0
22.343,114.197,22.349,114.203,18:00:00,0
22.284,114.162,22.283,114.142,18:00:00,0
22.292,114.227,22.312,114.192,18:00:02,0
22.331,114.164,22.348,114.154,18:00:04,0
22.381,113.956,22.388,114.134,18:00:05,0
22.38,114.184,22.409,114.209,18:00:07,0
22.387,114.184,22.374,114.168,18:00:07,0
22.259,114.219,22.284,114.198,18:00:08,0
22.249,114.231,22.253,114.227,18:00:09,0
22.326,114.146,22.38,114.169,18:00:10,0
22.284,114.233,22.282,114.226,18:00:12,0
22.283,114.152,22.288,114.178,18:00:14,0
22.312,114.158,22.316,114.169,18:00:14,0
22.287,114.193,22.286,114.157,18:00:15,0
22.509,114.143,22.338,114.152,18:00:15,0
22.328,114.248,22.319,114.157,18:00:17,0
22.462,114.014,22.394,114.004,18:00:18,0
22.29,114.233,22.282,114.226,18:00:19,0
22.306,114.16,22.307,114.149,18:00:20,0
22.23,114.11,22.236,114.14,18:00:24,0
22.378,114.19,22.404,114.189,18:00:24,0
22.278,114.108,22.298,114.115,18:00:24,0
22.3,114.152,22.313,114.171,18:00:25,0
22.297,114.266,22.311,114.277,18:00:25,0
22.302,114.221,22.328,114.191,18:00:28,0
22.283,114.156,22.287,114.115,18:00:29,0
22.286,114.235,22.286,114.225,18:00:29,0
22.297,114.261,22.314,114.276,18:00:30,0
22.431,114.261,22.443,114.035,18:00:31,0
22.28,114.231,22.291,114.223,18:00:32,0
22.357,114.114,22.284,114.136,18:00:34,0
22.455,114.026,22.448,114.022,18:00:35,0
22.312,114.167,22.308,114.152,18:00:37,0
22.285,114.178,22.304,114.167,18:00:37,0
22.439,114.142,22.446,114.139,18:00:42,0
22.321,114.187,22.328,114.128,18:00:45,0
22.285,114.217,22.268,114.216,18:00:45,0
22.31,114.151,22.319,114.138,18:00:45,0
22.325,114.198,22.286,114.208,18:00:46,0
22.334,114.169,22.351,114.141,18:00:48,0
22.283,114.221,22.281,114.217,18:00:48,0
22.31,114.194,22.277,114.195,18:00:50,0
22.312,114.23,22.31,114.223,18:00:50,0
22.436,114.162,22.312,114.161,18:00:51,0
