Unnamed: 0,x,y,"(lat,lon)",xy,lat,lon
0,7,5,"(22.284988073394494, 113.93901100917432)","(7, 5)",22.284988073394494,113.93901100917432
1,8,6,"(22.2987495412844, 113.95277247706423)","(8, 6)",22.2987495412844,113.95277247706423
2,9,11,"(22.367556880733943, 113.96653394495414)","(9, 11)",22.367556880733943,113.96653394495414
3,9,12,"(22.381318348623854, 113.96653394495414)","(9, 12)",22.381318348623854,113.96653394495414
4,9,13,"(22.39507981651376, 113.96653394495414)","(9, 13)",22.39507981651376,113.96653394495414
5,9,14,"(22.408841284403668, 113.96653394495414)","(9, 14)",22.408841284403668,113.96653394495414
6,10,12,"(22.381318348623854, 113.98029541284404)","(10, 12)",22.381318348623854,113.98029541284404
7,10,13,"(22.39507981651376, 113.98029541284404)","(10, 13)",22.39507981651376,113.98029541284404
8,10,14,"(22.408841284403668, 113.98029541284404)","(10, 14)",22.408841284403668,113.98029541284404
9,11,11,"(22.367556880733943, 113.99405688073395)","(11, 11)",22.367556880733943,113.99405688073395
10,11,16,"(22.436364220183485, 113.99405688073395)","(11, 16)",22.436364220183485,113.99405688073395
11,11,17,"(22.450125688073392, 113.99405688073395)","(11, 17)",22.450125688073392,113.99405688073395
12,11,18,"(22.463887155963302, 113.99405688073395)","(11, 18)",22.463887155963302,113.99405688073395
13,12,17,"(22.450125688073392, 114.00781834862386)","(12, 17)",22.450125688073392,114.00781834862386
14,12,18,"(22.463887155963302, 114.00781834862386)","(12, 18)",22.463887155963302,114.00781834862386
15,13,16,"(22.436364220183485, 114.02157981651376)","(13, 16)",22.436364220183485,114.02157981651376
16,13,17,"(22.450125688073392, 114.02157981651376)","(13, 17)",22.450125688073392,114.02157981651376
17,14,16,"(22.436364220183485, 114.03534128440367)","(14, 16)",22.436364220183485,114.03534128440367
18,14,17,"(22.450125688073392, 114.03534128440367)","(14, 17)",22.450125688073392,114.03534128440367
19,19,10,"(22.353795412844036, 114.10414862385322)","(19, 10)",22.353795412844036,114.10414862385322
20,19,11,"(22.367556880733943, 114.10414862385322)","(19, 11)",22.367556880733943,114.10414862385322
21,19,12,"(22.381318348623854, 114.10414862385322)","(19, 12)",22.381318348623854,114.10414862385322
22,20,11,"(22.367556880733943, 114.11791009174313)","(20, 11)",22.367556880733943,114.11791009174313
23,20,12,"(22.381318348623854, 114.11791009174313)","(20, 12)",22.381318348623854,114.11791009174313
24,21,5,"(22.284988073394494, 114.13167155963303)","(21, 5)",22.284988073394494,114.13167155963303
25,21,10,"(22.353795412844036, 114.13167155963303)","(21, 10)",22.353795412844036,114.13167155963303
26,21,11,"(22.367556880733943, 114.13167155963303)","(21, 11)",22.367556880733943,114.13167155963303
27,21,20,"(22.49141009174312, 114.13167155963303)","(21, 20)",22.49141009174312,114.13167155963303
28,21,21,"(22.505171559633027, 114.13167155963303)","(21, 21)",22.505171559633027,114.13167155963303
29,22,2,"(22.24370366972477, 114.14543302752294)","(22, 2)",22.24370366972477,114.14543302752294
30,22,5,"(22.284988073394494, 114.14543302752294)","(22, 5)",22.284988073394494,114.14543302752294
31,22,9,"(22.340033944954126, 114.14543302752294)","(22, 9)",22.340033944954126,114.14543302752294
32,22,20,"(22.49141009174312, 114.14543302752294)","(22, 20)",22.49141009174312,114.14543302752294
33,22,21,"(22.505171559633027, 114.14543302752294)","(22, 21)",22.505171559633027,114.14543302752294
