Train Episode 1 , Platform Reward 4.344238080694374 , Worker Reward 51.25290537703037 , Order Pickup 1927 , Worker Reject Num 1116 , Average Detour 20.129735339906592 , Average Travel Time 22.118653736451797 , Total Timeout Order 144 , Total Valid Distance 5781355.3 , Critic Loss 418.7375183105469 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.773 , Strike Rate 0.0
Train Episode 2 , Platform Reward 5.062555007392238 , Worker Reward 51.039870012521746 , Order Pickup 1930 , Worker Reject Num 1100 , Average Detour 20.171502590673576 , Average Travel Time 22.592134831460672 , Total Timeout Order 145 , Total Valid Distance 5588779.0 , Critic Loss 605.2346801757812 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.27
Train Episode 3 , Platform Reward 4.7483944301539465 , Worker Reward 49.9483594391942 , Order Pickup 1928 , Worker Reject Num 1167 , Average Detour 19.518672199170126 , Average Travel Time 22.110544217687075 , Total Timeout Order 144 , Total Valid Distance 5830116.5 , Critic Loss 411.50408935546875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.51 , Strike Rate 0.0
Train Episode 4 , Platform Reward 5.209114452409275 , Worker Reward 46.2845462115407 , Order Pickup 1936 , Worker Reject Num 1118 , Average Detour 17.762396694214875 , Average Travel Time 20.309348441926346 , Total Timeout Order 144 , Total Valid Distance 5798406.0 , Critic Loss 476.4430877685547 , Actor Loss -11.866966549696059 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.052
Train Episode 5 , Platform Reward 4.5827718973658955 , Worker Reward 50.97241356056929 , Order Pickup 1927 , Worker Reject Num 1053 , Average Detour 20.13129216398547 , Average Travel Time 22.74915824915825 , Total Timeout Order 163 , Total Valid Distance 5707790.2 , Critic Loss 463.40814208984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.13 , Strike Rate 0.0
Train Episode 6 , Platform Reward 5.087578843199413 , Worker Reward 49.5189007229209 , Order Pickup 1940 , Worker Reject Num 1060 , Average Detour 19.490721649484534 , Average Travel Time 22.396993318485524 , Total Timeout Order 165 , Total Valid Distance 5748336.6 , Critic Loss 567.954833984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.047 , Strike Rate 0.0
Train Episode 7 , Platform Reward 4.721216055198623 , Worker Reward 51.418397174954414 , Order Pickup 1940 , Worker Reject Num 1027 , Average Detour 20.147938144329895 , Average Travel Time 22.59819921215532 , Total Timeout Order 158 , Total Valid Distance 5691383.5 , Critic Loss 303.2006530761719 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.374 , Strike Rate 0.0
Train Episode 8 , Platform Reward 4.84533952966828 , Worker Reward 45.88715465217829 , Order Pickup 1926 , Worker Reject Num 1031 , Average Detour 17.70301142263759 , Average Travel Time 19.93355481727575 , Total Timeout Order 133 , Total Valid Distance 5478367.6 , Critic Loss 439.8955505371094 , Actor Loss -6.97588301152007 , Worker Loss 0 , Mask Rate 0.239 , Strike Rate 0.0
Train Episode 9 , Platform Reward 4.713188117035717 , Worker Reward 51.12570807379484 , Order Pickup 1932 , Worker Reject Num 924 , Average Detour 20.156832298136646 , Average Travel Time 22.610704225352112 , Total Timeout Order 146 , Total Valid Distance 5316738.4 , Critic Loss 408.22979736328125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.36
Train Episode 10 , Platform Reward 4.85105840773651 , Worker Reward 51.01679856455326 , Order Pickup 1949 , Worker Reject Num 763 , Average Detour 19.860954335556695 , Average Travel Time 22.241573033707866 , Total Timeout Order 149 , Total Valid Distance 5523648.6 , Critic Loss 416.2498779296875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.264 , Strike Rate 0.277
Train Episode 11 , Platform Reward 5.036191693288894 , Worker Reward 51.504185724437235 , Order Pickup 1935 , Worker Reject Num 912 , Average Detour 20.054780361757107 , Average Travel Time 22.779584969153113 , Total Timeout Order 149 , Total Valid Distance 5544912.4 , Critic Loss 327.9374084472656 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.746 , Strike Rate 0.0
Train Episode 12 , Platform Reward 5.225643428395233 , Worker Reward 47.021319061160085 , Order Pickup 1941 , Worker Reject Num 806 , Average Detour 17.849046883049976 , Average Travel Time 21.094441446303293 , Total Timeout Order 137 , Total Valid Distance 6053865.9 , Critic Loss 639.8649780273438 , Actor Loss -8.202319561589599 , Worker Loss 0 , Mask Rate 0.926 , Strike Rate 0.0
Train Episode 13 , Platform Reward 5.03517699315574 , Worker Reward 51.6057794650197 , Order Pickup 1943 , Worker Reject Num 876 , Average Detour 20.195059186824498 , Average Travel Time 22.554122265844082 , Total Timeout Order 146 , Total Valid Distance 5871714.0 , Critic Loss 420.8428649902344 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.434 , Strike Rate 0.0
