Train Episode 1 , Platform Reward 4.351252468063653 , Worker Reward 46.506328158617016 , Order Pickup 1860 , Worker Reject Num 1918 , Average Detour 19.736021505376343 , Average Travel Time 22.553775743707092 , Total Timeout Order 153 , Total Valid Distance 5056967.100000001 , Critic Loss 389.6575012207031 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.449 , Strike Rate 0.186
Train Episode 2 , Platform Reward 11.75962600588373 , Worker Reward 82.51265716332198 , Order Pickup 3240 , Worker Reject Num 3775 , Average Detour 20.03858024691358 , Average Travel Time 22.71201588877855 , Total Timeout Order 254 , Total Valid Distance 9045630.600000001 , Critic Loss 355.71209716796875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.386 , Strike Rate 0.072
Train Episode 3 , Platform Reward 8.080272109162719 , Worker Reward 70.71631316739321 , Order Pickup 2844 , Worker Reject Num 3163 , Average Detour 19.54113924050633 , Average Travel Time 22.094584286803965 , Total Timeout Order 201 , Total Valid Distance 7953034.699999999 , Critic Loss 311.87200927734375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.262 , Strike Rate 0.212
Train Episode 4 , Platform Reward 9.40496677547965 , Worker Reward 81.19687346410751 , Order Pickup 3742 , Worker Reject Num 4521 , Average Detour 16.416354890432924 , Average Travel Time 18.835949067219424 , Total Timeout Order 124 , Total Valid Distance 11130634.8 , Critic Loss 369.84608764648436 , Actor Loss -7.678559795422641 , Worker Loss 0 , Mask Rate 0.162 , Strike Rate 0.0
Train Episode 5 , Platform Reward 7.3315171164092705 , Worker Reward 75.08212515717744 , Order Pickup 2909 , Worker Reject Num 3080 , Average Detour 20.208319009969063 , Average Travel Time 22.787923965710025 , Total Timeout Order 243 , Total Valid Distance 8412532.8 , Critic Loss 357.0966796875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.164 , Strike Rate 0.0
Train Episode 6 , Platform Reward 8.718874820397366 , Worker Reward 67.49712278032302 , Order Pickup 2627 , Worker Reject Num 2846 , Average Detour 20.09935287400076 , Average Travel Time 22.544472152950956 , Total Timeout Order 195 , Total Valid Distance 7765821.100000001 , Critic Loss 365.7513427734375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.047 , Strike Rate 0.42
Train Episode 7 , Platform Reward 8.97041887270956 , Worker Reward 73.24611996859312 , Order Pickup 2901 , Worker Reject Num 3147 , Average Detour 19.78145467080317 , Average Travel Time 22.70457902511078 , Total Timeout Order 226 , Total Valid Distance 8378083.4 , Critic Loss 150.47415161132812 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.613
Train Episode 8 , Platform Reward 10.464327059010294 , Worker Reward 75.26504069072008 , Order Pickup 3601 , Worker Reject Num 3545 , Average Detour 15.660649819494585 , Average Travel Time 18.365089121081745 , Total Timeout Order 115 , Total Valid Distance 10741873.399999999 , Critic Loss 403.7624267578125 , Actor Loss -9.028035097476806 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.107
Train Episode 9 , Platform Reward 11.417623191464084 , Worker Reward 87.35928780305386 , Order Pickup 3432 , Worker Reject Num 3038 , Average Detour 19.862762237762237 , Average Travel Time 22.38910012674271 , Total Timeout Order 263 , Total Valid Distance 10172473.3 , Critic Loss 336.55303955078125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.226 , Strike Rate 0.024
Train Episode 10 , Platform Reward 3.2352138136470843 , Worker Reward 33.054708612799644 , Order Pickup 1292 , Worker Reject Num 1133 , Average Detour 20.1656346749226 , Average Travel Time 22.187552565180823 , Total Timeout Order 86 , Total Valid Distance 3522326.4000000004 , Critic Loss 367.84490966796875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.081
Train Episode 11 , Platform Reward 5.851444380478943 , Worker Reward 61.915443179190156 , Order Pickup 2444 , Worker Reject Num 2164 , Average Detour 19.816693944353517 , Average Travel Time 22.172383073496658 , Total Timeout Order 165 , Total Valid Distance 7181561.5 , Critic Loss 247.52435302734375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.985 , Strike Rate 0.0
Train Episode 12 , Platform Reward 13.17447218421267 , Worker Reward 88.45809049975873 , Order Pickup 4361 , Worker Reject Num 3958 , Average Detour 14.99633111671635 , Average Travel Time 17.522259828169748 , Total Timeout Order 143 , Total Valid Distance 13346861.600000001 , Critic Loss 395.1537063598633 , Actor Loss -9.716703884458658 , Worker Loss 0 , Mask Rate 0.434 , Strike Rate 0.0
Train Episode 13 , Platform Reward 5.308224491666178 , Worker Reward 57.47737097424269 , Order Pickup 2272 , Worker Reject Num 2174 , Average Detour 19.91637323943662 , Average Travel Time 22.55206847360913 , Total Timeout Order 189 , Total Valid Distance 6347414.6 , Critic Loss 354.9981384277344 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.455 , Strike Rate 0.28
Train Episode 14 , Platform Reward 2.371488862979853 , Worker Reward 27.236033346533777 , Order Pickup 1045 , Worker Reject Num 841 , Average Detour 20.197129186602872 , Average Travel Time 22.57922350472193 , Total Timeout Order 72 , Total Valid Distance 3208885.2 , Critic Loss 469.9561767578125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.175
Train Episode 15 , Platform Reward 10.951103076516434 , Worker Reward 67.08044276946784 , Order Pickup 2621 , Worker Reject Num 2073 , Average Detour 20.135826020602824 , Average Travel Time 22.76597510373444 , Total Timeout Order 204 , Total Valid Distance 7613103.699999999 , Critic Loss 267.11212158203125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.43 , Strike Rate 0.481
Train Episode 16 , Platform Reward 3.6440648967415945 , Worker Reward 28.996043124616147 , Order Pickup 1432 , Worker Reject Num 681 , Average Detour 15.258379888268156 , Average Travel Time 18.413059427732943 , Total Timeout Order 53 , Total Valid Distance 4233334.7 , Critic Loss 555.3232727050781 , Actor Loss -9.032156989683573 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.163
Train Episode 17 , Platform Reward 11.208372264437784 , Worker Reward 81.1686700476408 , Order Pickup 3142 , Worker Reject Num 2130 , Average Detour 20.30203691915977 , Average Travel Time 22.87313691507799 , Total Timeout Order 229 , Total Valid Distance 8761922.5 , Critic Loss 311.1075744628906 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.223
